Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Só Delicias,RESTAURANT,Açaí,0.94,0,0,true,true,false,true,10, 35.185.549/0001-82,MACAE,40032665,27966850,Lagomar,Avenida Parnaíba,49,-22.502986,-44.132824,,,,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00,18:00:00 - 23:59:00
Açaí E Hot Dog Da Isa,RESTAURANT,Açaí,3.97,0,0,false,true,false,false,9, 38.240.380/0001-04,BARRA MANSA,999756937,27325640,Vale Do Paraíba,Rua Glicério De Almeida,143,-22.529681,-44.145026,00:00:00 - 01:15:00,20:30:00 - 23:59:00,00:00:00 - 01:00:00,20:30:00 - 23:59:00,20:15:00 - 23:59:00,00:00:00 - 01:00:00,20:15:00 - 23:59:00
Quentinhas Bom Sabor,RESTAURANT,Marmita,3.04,0,0,false,true,false,false,0, 26.109.324/0001-56,VOLTA REDONDA,999113399,27215380,Nossa Senhora Das Graças,Rua Quinhentos E Sessenta E Quatro,178,-22.504895,-44.095663,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,10:45:00 - 14:30:00,
Doces Da Ju,RESTAURANT,Doces & Bolos,4.36,0,0,true,true,false,true,10, 37.353.762/0001-81,VOLTA REDONDA,40032665,27285330,Jardim Veneza,Rua Vinte,31,-22.496352,-44.082307,,11:00:00 - 15:00:00,,,,,
Cheirin Bao Barra Mansa,RESTAURANT,Lanches,6.58,4.8,4,true,true,false,true,10, 35.223.073/0001-27,BARRA MANSA,34010199,27323240,Ano Bom,Avenida Tenente José Eduardo,35,-22.541202,-44.169876,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 19:00:00,
Mister Chef,RESTAURANT,Doces & Bolos,3.39,0,0,true,true,false,true,10, 31.548.946/0001-10,VOLTA REDONDA,993075495,27267150,Duzentos E Quarenta E Nove,Avenida Manchester,344,-22.529659,-44.128244,11:00:00 - 19:00:00,11:00:00 - 19:00:00,11:00:00 - 19:00:00,11:00:00 - 19:00:00,11:00:00 - 19:00:00,10:00:00 - 17:00:00,12:00:00 - 15:00:00
Doce Sabor,RESTAURANT,Lanches,6.63,0,0,true,true,false,true,20, 37.739.667/0001-10,BARRA MANSA,988260691,27310020,Centro,Avenida Argemiro De Paula Coutinho,400,-22.547385,-44.162973,13:00:00 - 20:30:00,13:00:00 - 20:30:00,13:00:00 - 22:00:00,13:00:00 - 20:30:00,13:00:00 - 20:30:00,11:30:00 - 20:30:00,
Bolo De Rolo Madalena,RESTAURANT,Comida Variada,4.33,0,0,true,true,false,true,20, 29.850.535/0001-33,VOLTA REDONDA,Sem Número,27253620,São Geraldo,Rua Paissandu,114,-22.517647,-44.087467,,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 14:00:00,11:00:00 - 15:00:00,11:00:00 - 14:00:00,
Doceria Gostosurinhas,RESTAURANT,Doces & Bolos,6.74,0,0,true,true,false,true,10, 38.392.195/0001-35,BARRA MANSA,999357550,27321000,Vila Nova,R. Major Jose Bento Numero,535,-22.534724,-44.177799,,12:00:00 - 17:30:00,12:00:00 - 17:30:00,12:00:00 - 17:30:00,12:00:00 - 17:30:00,,
Sabor D&k,RESTAURANT,Lanches,3.14,0,0,true,true,false,true,20, 38.435.823/0001-12,VOLTA REDONDA,40032665,27274200,Siderlândia,Avenida Almirante Adalberto De Barros Nunes,5299,-22.525434,-44.136263,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00
