Loja,Categoria,Sub Categoria,Distância,Nota,Contagem de Votos,Ifood Delivery,Novo,Super Restaurante,Rastreamento,Pedido Mínimo,CNPJ,Cidade,Telefone,CEP,Bairro,Rua,Número,Latitude,Longitude,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
Açougue Di Porco,RESTAURANT,Carnes,0.72,5.0,6,true,true,false,true,20,44619593000144,VOLTA REDONDA,993262929,27275040,Retiro,Avenida Antônio De Almeida,632,-22.500057,-44.117621,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 20:00:00,08:00:00 - 13:00:00
Divino Aroma Chocolates De Gramado,RESTAURANT,Doces & Bolos,3.06,5.0,3,true,true,false,true,20,26257401000115,VOLTA REDONDA,40032665,27260010,Vila Santa Cecília,Rua Trinta E Três,65,-22.51909,-44.10385,09:00:00 - 22:00:00,09:00:00 - 22:00:00,09:00:00 - 22:00:00,09:00:00 - 22:30:00,09:00:00 - 22:30:00,09:00:00 - 22:30:00,09:00:00 - 21:00:00
Acai Moreira,RESTAURANT,Açaí,1.78,4.9,8,false,true,false,false,10,38039821000104,VOLTA REDONDA,998284838,27276490,Açude,Rua Pedro Elias De Moura,46,-22.505398,-44.140528,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 21:00:00
Vr Burger,RESTAURANT,Lanches,4.16,5.0,1,false,true,false,false,25,42021952000131,VOLTA REDONDA,999942865,27255560,Monte Castelo,Rua Trezentos E Trinta E Quatro,20,-22.521743,-44.092164,10:00:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,10:00:00 - 23:59:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00,00:00:00 - 02:00:00
Massas Do.......sabor Di Italia,RESTAURANT,Comida Italiana,6.5,4.6,9,true,true,false,true,10,46522234000108,BARRA MANSA,998774590,27332410,Boa Vista I,Rua Treze De Maio,37,-22.557905,-44.123387,,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00,10:00:00 - 15:00:00
Açaí Mais Sabor,RESTAURANT,Açaí,1.42,5.0,7,true,true,false,true,20,40136761000190,VOLTA REDONDA,978350041,27278080,Vale Verde,Servidão Do Córrego,60,-22.488071,-44.117886,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00,13:00:00 - 23:00:00
"Hey, Candies?",RESTAURANT,Doces & Bolos,3.08,5.0,10,true,false,false,true,20,46508419000150,VOLTA REDONDA,998737391,27273525,Siderlândia,Rua Casimiro De Abreu,16,-22.523316,-44.139628,,11:45:00 - 23:45:00,10:30:00 - 23:45:00,10:00:00 - 23:30:00,10:00:00 - 23:59:00,10:00:00 - 23:30:00,10:00:00 - 23:30:00
Bebidas Express,RESTAURANT,Bebidas,2.9,4.8,27,false,false,false,false,25,31618871000105,VOLTA REDONDA,999166621,27263320,Conforto,Rua Duzentos E Trinta,225,-22.525457,-44.125267,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00,00:00:00 - 23:59:00
Sushi In Ksa,RESTAURANT,Comida Japonesa,3.49,2.0,6,true,true,false,true,20,42213365000144,VOLTA REDONDA,40032665,27285030,Voldac,Avenida Beira-rio,465,-22.490613,-44.092013,11:00:00 - 23:30:00,10:00:00 - 23:30:00,11:00:00 - 23:45:00,11:30:00 - 23:45:00,10:15:00 - 23:30:00,12:00:00 - 23:59:00,11:00:00 - 23:30:00
Doce De Amor,RESTAURANT,Doces & Bolos,3.9,5.0,2,true,true,false,true,20,42702538000198,BARRA MANSA,998350760,27325820,Vale Do Paraíba,Rua José Lourenço Da Fonseca,356,-22.530759,-44.141607,11:00:00 - 23:00:00,11:00:00 - 22:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 21:00:00,11:00:00 - 23:00:00,20:00:00 - 23:30:00
Fast Fit - Delivery Saúdavel,RESTAURANT,Comida Saudável,2.9,5.0,1,false,true,false,false,20,32757151000185,VOLTA REDONDA,40032665,27262305,Bela Vista,Rua Dezenove-a,232,-22.521122,-44.109079,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,11:00:00 - 15:00:00,,
Bolo Real,RESTAURANT,Doces & Bolos,1.87,0.0,0,true,true,false,true,20,41375453000180,VOLTA REDONDA,40032665,27280070,Coqueiros,Alameda Dois,39,-22.492791,-44.107762,09:00:00 - 21:00:00,09:00:00 - 21:00:00,09:00:00 - 21:00:00,09:00:00 - 23:00:00,09:00:00 - 23:00:00,09:00:00 - 23:00:00,
Relicario Platters E Vinhos,RESTAURANT,Presentes,2.87,0.0,0,false,true,false,false,30,21095293000108,VOLTA REDONDA,30756998,27260070,Vila Santa Cecilia,Rua Vinte E Três B,57,-22.518885,-44.106395,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,11:00:00 - 23:00:00,07:00:00 - 07:15:00
Jessicaçaí,RESTAURANT,Açaí,5.49,0.0,0,true,true,false,true,20,36718632000132,VOLTA REDONDA,Sem Número,27256800,Siderópolis,Rua Seiscentos E Quarenta E Nove,160,-22.534977,-44.087542,18:00:00 - 23:15:00,15:00:00 - 17:00:00,12:00:00 - 23:30:00,09:15:00 - 23:45:00,,09:45:00 - 14:00:00,14:00:00 - 23:30:00
Fábrica Di Chocolate - Sider,RESTAURANT,Comida Brasileira,4.66,0.0,0,false,true,false,false,10,45120281000154,VOLTA REDONDA,999586617,27260315,Vila Santa Cecília,Rua Brás Magaldi Fernandes,300,-22.463922,-44.100023,14:00:00 - 20:45:00,14:00:00 - 20:45:00,14:00:00 - 20:45:00,14:00:00 - 20:45:00,14:00:00 - 20:45:00,,14:00:00 - 19:45:00
Primogênita Massas Artesanais,RESTAURANT,Comida Italiana,3,5.0,6,true,true,false,true,20,39781511000123,VOLTA REDONDA,998360808,27263000,Eucaliptal,Protogenes Guimarães,133,-22.525931,-44.119283,10:00:00 - 18:00:00,09:45:00 - 16:30:00,10:00:00 - 18:00:00,10:30:00 - 16:30:00,10:30:00 - 16:30:00,10:30:00 - 14:30:00,11:30:00 - 12:30:00
Guloseimas Do Master,RESTAURANT,Doces & Bolos,4.95,0.0,0,true,true,false,true,10,45296317000155,VOLTA REDONDA,998492857,27335340,São Geraldo,Rua Tuiuti,196,-22.54294,-44.114383,12:00:00 - 15:00:00,12:00:00 - 15:00:00,12:00:00 - 15:00:00,12:00:00 - 15:00:00,12:00:00 - 15:00:00,12:00:00 - 15:00:00,12:00:00 - 15:00:00
Gonçalves Restaurante,RESTAURANT,Comida Brasileira,4.6,4.1,9,true,true,false,true,10,12887316000126,BARRA MANSA,998240202,27325340,Getúlio Vargas,Rua Belo Horizonte,1120,-22.531073,-44.153348,,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00,14:00:00 - 22:00:00
Restaurante Bequinho Mineiro,RESTAURANT,Comida Brasileira,1.73,4.9,8,false,true,false,false,15,45756085000170,VOLTA REDONDA,981153512,27281421,Retiro,Avenida Sávio Cota De Almeida Gama,1970,-22.499007,-44.107806,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00,11:00:00 - 14:30:00
